auto_code,tik_id,tik,link_orig,link_save
77,2693,ТИК района Северный,http://mosgorizbirkom.ru/documents/10279/132725/068_4-1_06.pdf/b31c0a9a-2e4b-4c2e-806a-8b307d2df4cc,
77,2694,ТИК района Силино,http://mosgorizbirkom.ru/documents/10279/132725/032_4-1_05.pdf/918631e9-b715-4b4e-9cd7-de712d228404,
77,2695,ТИК района Сокол,http://mosgorizbirkom.ru/documents/10279/132725/050_4-1_03.pdf/b4ec4909-0a85-4ea7-9fde-e2752bf3447f,
77,2696,ТИК района Соколиная гора,http://mosgorizbirkom.ru/documents/10279/132725/015_4-1_05.pdf/9370df95-b8e7-4ef1-9532-0c90c6a6258b,
77,2697,ТИК района Сокольники,http://mosgorizbirkom.ru/documents/10279/132725/016_4-1_05.pdf/e52b5b42-cb76-4330-8ba0-3cde8cd67ce2,
77,2698,ТИК района Солнцево,http://mosgorizbirkom.ru/documents/10279/132725/028_4-1_004.pdf/33d492b4-0de4-4184-97a3-61b8de557856,
77,2699,ТИК района Старое Крюково,http://mosgorizbirkom.ru/documents/10279/132725/034_4-1_04.pdf/bbe68b40-34a6-4ea0-8898-37f096dd1605,
77,2700,ТИК района Строгино,http://mosgorizbirkom.ru/documents/10279/132725/075_4-1_09.pdf/ed818e4a-1ede-4fab-9499-ef2acfa0d9da,
77,2701,ТИК района Текстильщики,http://mosgorizbirkom.ru/documents/10279/132725/099_4-1_03.pdf/d4c5a434-279e-4823-a9b5-04c94ef72c20,
77,2702,ТИК района Теплый Стан,http://mosgorizbirkom.ru/documents/10279/132725/109_4-1_05.pdf/6cc40760-c3ed-4997-a2e0-c060427141ab,
77,2703,ТИК района Тропарево-Никулино,http://mosgorizbirkom.ru/documents/10279/132725/029_4-1_05.pdf/58aca8c0-854c-42b1-8ecd-fb7de09761b7,
77,2704,ТИК района Филевский парк,http://mosgorizbirkom.ru/documents/10279/132725/030_4-1_05.pdf/9b8f4663-b7f9-4877-b9bb-b81ba6115d19,
77,2705,ТИК района Фили-Давыдково,http://mosgorizbirkom.ru/documents/10279/132725/031_4-1_04.pdf/87aec3ab-0366-4846-bb58-ac8db4ba7481,
77,2706,ТИК района Хамовники,http://mosgorizbirkom.ru/documents/10279/132725/087_4-1_07.pdf/a270158a-403f-443e-bedc-9dcac7f3ad01,
